depth,porosity,Perm,Rpress,WaterSaturation,Saturation*Porosity/Permeability,Lithology
1000,40,500,3000,0.5,0.04,Shale
1500,36.666666666666664,455.55555555555554,3166.6666666666665,0.5444444444444444,,Shale
2000,33.333333333333336,411.1111111111111,3333.3333333333335,0.5888888888888889,0.047747748,Sandstone
2500,30,366.6666666666667,3500,0.6333333333333333,0.051818182,
3000,26.666666666666664,322.22222222222223,,0.6777777777777778,0.056091954,Sandstone
3500,23.333333333333332,277.77777777777777,3833.333333333333,0.7222222222222222,0.060666667,Shale
4000,20,,4000,0.7666666666666666,,Sandstone
4500,16.666666666666664,188.8888888888889,4166.666666666666,,0.071568627,Shale
5000,13.333333333333332,144.44444444444446,4333.333333333333,0.8555555555555556,0.078974359,Sandstone
5500,10,100,4500,0.9,0.09,Sandstone
